CandidateID,Skills,Interests,Hobbies,Work_Style,Career_Goals,Recommended_Career,Career_Category,Intermediate_Path,Salary_PKR_Monthly
277,Negotiation;Political Science;International Relations;Policy Analysis,Government;Research,Watching Documentaries;Public Speaking,Working with diverse communities,Work in international law,Corporate Lawyer,Law & Social Sciences,FA (Arts) or FSc,145000
278,Interior Design;Video Editing;Illustrator,Interior Decoration;Digital Media,Photography;Painting,Expressing ideas visually,Work as a freelance designer,Fashion Designer,Design & Creative,FA (Arts) or ICS,150000
279,HR Management;Sales;Content Writing;Project Management;Social Media,Branding;Business;Sales,Volunteering,Managing multiple tasks,Work in corporate sector;High salary in management,Marketing Manager,Business & Marketing,ICOM (Commerce),130000
280,Diplomacy;Constitutional Law;Political Science;Research Methods;Contract Law,History;International Affairs;Politics,Volunteering,Research and writing,Serve the public,Diplomat/CSS Officer,Law & Social Sciences,FA (Arts) or FSc,285000
281,Agile;CRM;Business Strategy,Communication;Business,Debating,Creative and strategic thinking,Start my own business,Supply Chain Manager,Business & Marketing,ICOM (Commerce),100000
282,Biochemistry;Anatomy;Nutrition;Diagnosis;Surgery,Healthcare;Research,First Aid Training,Helping and caring for others,Work in government hospitals,Pharmacist,Medical & Health,FSc Pre-Medical,170000
283,CRM;Market Research;Content Writing;E-commerce;Agile,Operations;Business;Team Work,Watching Entrepreneurship Videos,Leading teams and projects,Grow professionally in business;High salary in management,Supply Chain Manager,Business & Marketing,ICOM (Commerce),130000
284,Corporate Finance;Budgeting;Taxation;Accounting;Credit Analysis,Law;Investing,Solving Puzzles,Office-based desk work,Manage large investments;Work in banking sector,ACCA Accountant,Finance & Commerce,ICOM (Commerce),200000
285,Drafting;Statistics;International Relations;Tax Law,Politics;History;Government,Volunteering,Debating and arguing cases,Influence policy making,Corporate Lawyer,Law & Social Sciences,FA (Arts) or FSc,380000
286,Risk Management;Taxation;Accounting;Corporate Finance,Accounting;Banking;Business,Solving Puzzles;Business Case Studies,Working independently on accounts,Work in top accounting firms;Manage large investments,Chartered Accountant,Finance & Commerce,ICOM (Commerce),195000
287,3D Modeling;Circuit Design;Thermodynamics;Structural Analysis;CAD,Machines;Problem Solving;Science,Playing with Lego,Using tools and equipment,Build infrastructure for Pakistan,Architect,Engineering,FSc Pre-Engineering,85000
288,Research Methods;Corporate Law;Statistics;Economics,Law;Policy Making,Writing Articles;Community Work,Working with policies and regulations,Serve the public,Lawyer,Law & Social Sciences,FA (Arts) or FSc,260000
289,Leadership;Social Media;Supply Chain;Business Strategy,Communication;Business;Operations,Sports,Working with people and clients,Build a brand;Grow professionally in business,HR Manager,Business & Marketing,ICOM (Commerce),145000
290,Crop Science;Reporting;Public Speaking;Photography;Content Creation,Journalism;Media,Teaching Younger Students,Broadcasting and reporting,Contribute to agricultural development;Work in NGOs and international organizations,Journalist,Education & Media,FA (Arts) or FSc,55000
291,Litigation;Statistics;Negotiation;Foreign Policy;Political Science,Social Issues;Politics;Justice,Reading News;Reading History Books,Long hours of reading and research,Achieve justice and fairness;Pass CSS exams,Economist,Law & Social Sciences,FA (Arts) or FSc,220000
292,Agriculture;Communication;Broadcasting,Nature;Research;Social Work,Writing Stories,Conducting research and fieldwork,Raise awareness through media;Contribute to agricultural development,Teacher,Education & Media,FA (Arts) or FSc,75000
293,Photoshop;Fashion Design;Typography;Graphic Design;Wireframing,Fashion;Interior Decoration;Creativity,Watching Design Videos,Using creative tools and software,Express creativity professionally,Fashion Designer,Design & Creative,FA (Arts) or ICS,95000
294,SEO;E-commerce;Agile,Branding;Leadership,Writing Blogs,Traveling and networking,Work in top companies,HR Manager,Business & Marketing,ICOM (Commerce),85000
295,Adobe XD;Pattern Making;Video Editing,Visual Arts;Drawing,DIY Crafts,Collaborating with clients,Work in media and advertising,Fashion Designer,Design & Creative,FA (Arts) or ICS,120000
296,Pattern Making;Branding;Color Theory;Fashion Design;UI Design,Fashion;Visual Arts,Fashion Styling,Working on design projects independently,Work in media and advertising,Graphic Designer,Design & Creative,FA (Arts) or ICS,100000
297,First Aid;Chemistry;Pharmacology;Medical Research,Helping People;Community Service;Mental Health,Reading Medical Journals;Helping Neighbors,Long shifts with high responsibility,Job stability and security;Open my own clinic,Psychologist,Medical & Health,FSc Pre-Medical,160000
298,Project Management;Power Systems;Architecture Design,Machines;Building Things,Sketching Structures;Playing with Lego,Using tools and equipment,Contribute to national development;Solve structural challenges,Mechanical Engineer,Engineering,FSc Pre-Engineering,205000
299,Litigation;FBR;Diplomacy;International Relations,Justice;History;Politics,Debating;Watching Documentaries,Working with diverse communities,Become a senior advocate,Corporate Lawyer,Law & Social Sciences,FA (Arts) or FSc,355000
300,Figma;Adobe XD;Illustrator;Typography;UI Design,Art;Photography;Creativity,Video Editing;Reading Design Books,Working creatively and freely,Start a creative agency;Earn through passion,Graphic Designer,Design & Creative,FA (Arts) or ICS,100000
301,UX Research;Color Theory;3D Visualization;Premiere Pro,Media;Photography;Storytelling,Creating Digital Art;DIY Crafts,Collaborating with clients,Collaborate with global clients,Video Editor,Design & Creative,FA (Arts) or ICS,110000
302,Content Creation;Teaching;Agriculture,Teaching;Social Work,Teaching Younger Students,Working outdoors in nature,Work for environmental causes;Contribute to agricultural development,Teacher,Education & Media,FA (Arts) or FSc,65000
303,Adobe XD;Graphic Design;Interior Design;Color Theory;Illustrator,Photography;Media;Digital Media,Drawing and Sketching,Collaborating with clients,Work in media and advertising;Collaborate with global clients,Fashion Designer,Design & Creative,FA (Arts) or ICS,65000
304,CA;Financial Reporting;Economics;ACCA,Law;Finance,Entrepreneurship Blogs,Presenting reports to clients,Become a CA or ACCA qualified;Manage large investments,Financial Analyst,Finance & Commerce,ICOM (Commerce),195000
305,Sustainability;Curriculum Development;Communication,Writing;Media;Community Service,Photography;Gardening,Teaching and explaining concepts,Raise awareness through media;Serve the community through education,Agricultural Officer,Education & Media,FA (Arts) or FSc,70000
306,Mechanics;Site Supervision;MATLAB;Structural Analysis;Thermodynamics,Electronics;Robotics,DIY Projects,Building and constructing things,Work on mega projects;Build infrastructure for Pakistan,Civil Engineer,Engineering,FSc Pre-Engineering,75000
307,Construction Management;Site Supervision;Robotics,Mathematics;Electronics,Solving Math Problems;Electronics Tinkering,Working on site and in offices,High salary in engineering firms,Electrical Engineer,Engineering,FSc Pre-Engineering,180000
308,CA;Auditing;Risk Management,Finance;Stock Market,Reading Finance Books;Debating,Office-based desk work,Work in top accounting firms;Work in banking sector,ACCA Accountant,Finance & Commerce,ICOM (Commerce),190000
309,Logistics;Project Management;Brand Management;HR Management,Marketing;Team Work;Strategy,Running Social Media Pages,Managing multiple tasks,High salary in management;Work in corporate sector,Marketing Manager,Business & Marketing,ICOM (Commerce),195000
310,Auditing;Portfolio Management;Accounting;Excel,Economics;Finance,Tracking Stock Markets,Presenting reports to clients,Work in government finance departments,Banker,Finance & Commerce,ICOM (Commerce),255000
311,Mental Health;Clinical Skills;Biology;Physiology,Helping People;Human Body;Biology,Helping Neighbors,Hands-on practical work,Help and save lives;Work in government hospitals,Nurse,Medical & Health,FSc Pre-Medical,110000
312,Patient Care;Physiology;Nutrition;Microbiology;Surgery,Community Service;Patient Care;Mental Health,Gardening,Working in a clinical environment,Achieve social respect,Nurse,Medical & Health,FSc Pre-Medical,200000
313,Fashion Design;After Effects;3D Visualization;Typography;Interior Design,Colors;Art;Visual Arts,DIY Crafts;Creating Digital Art,Working creatively and freely,Build a recognizable brand,Fashion Designer,Design & Creative,FA (Arts) or ICS,165000
314,Credit Analysis;Economics;IFRS,Banking;Stock Market;Business,Tracking Stock Markets;Reading Finance Books,Presenting reports to clients,Start a financial consultancy;Work in top accounting firms,ACCA Accountant,Finance & Commerce,ICOM (Commerce),290000
315,Legal Research;SECP Regulations;Public Speaking;Policy Analysis,Policy Making;Justice,Following Politics;Traveling,Analytical and critical thinking,Become a senior advocate;Pass CSS exams,Diplomat/CSS Officer,Law & Social Sciences,FA (Arts) or FSc,110000
316,Constitutional Law;Litigation;Legal Research;Research Methods;Diplomacy,Law;International Affairs;Justice,Following Politics,Research and writing,Work in government sector;Pass CSS exams,Economist,Law & Social Sciences,FA (Arts) or FSc,105000
317,CAD;Manufacturing;Structural Analysis,Construction;Innovation,Visiting Construction Sites;Scale Modelling,Working on physical projects,Contribute to national development,Architect,Engineering,FSc Pre-Engineering,110000
318,Negotiation;Communication;Sales;CRM;E-commerce,Branding;Operations;Marketing,Watching Entrepreneurship Videos,Managing multiple tasks,Work in corporate sector,Business Analyst,Business & Marketing,ICOM (Commerce),185000
319,Statistics;Corporate Law;Diplomacy;International Relations,Government;Economics;Law,Reading History Books,Public speaking and presentations,Work in international law,Lawyer,Law & Social Sciences,FA (Arts) or FSc,305000
320,Physiology;Nursing Procedures;Surgery;Biology;Patient Care,Healthcare;Medicine,Gardening,Long shifts with high responsibility,Work in government hospitals,Nurse,Medical & Health,FSc Pre-Medical,130000
321,UI Design;Figma;3D Visualization;Adobe XD;Color Theory,Digital Media;Colors;Interior Decoration,Watching Design Videos;Reading Design Books,Working on design projects independently,Earn through passion;Start a creative agency,Fashion Designer,Design & Creative,FA (Arts) or ICS,95000
322,3D Visualization;Adobe XD;Branding;UI Design,Drawing;Creativity,Reading Design Books,Expressing ideas visually,Earn through passion,Video Editor,Design & Creative,FA (Arts) or ICS,130000
323,Power Systems;Urban Planning;Civil Design;Project Management;MATLAB,Problem Solving;Machines;Science,Visiting Construction Sites;Solving Math Problems,Solving technical problems,Work abroad in engineering,Electrical Engineer,Engineering,FSc Pre-Engineering,155000
324,Drafting;Research Methods;Statistics;Legal Research;SECP Regulations,Law;Research;History,Debating;Volunteering,Working with diverse communities,Become a senior advocate,Lawyer,Law & Social Sciences,FA (Arts) or FSc,120000
325,DevOps;Data Analysis;JavaScript;Android Development,Programming;Cybersecurity,Math Competitions;Playing Video Games,Working alone on focused tasks,Contribute to AI research;Work in top global companies,Mobile App Developer,IT & Data,ICS (Pre-Engineering),175000
326,Broadcasting;Agriculture;GIS,Broadcasting;Children;Social Work,Nature Walks,Writing and communicating ideas,Contribute to agricultural development;Become a respected journalist,Journalist,Education & Media,FA (Arts) or FSc,100000
327,Surgery;Nutrition;Pharmacology;Diagnosis,Medicine;Nutrition;Helping People,Meditation;Reading Biology Books,Long shifts with high responsibility,Job stability and security,Psychologist,Medical & Health,FSc Pre-Medical,80000
328,Recruitment;Brand Management;Market Research;SEO,Strategy;Entrepreneurship,Sports,Working in a fast-paced environment,Work in top companies;Build a brand,Business Analyst,Business & Marketing,ICOM (Commerce),160000
329,Counseling;Physiology;Biochemistry,Science;Patient Care,Reading Medical Journals;Reading Biology Books,Hands-on practical work,Help and save lives;Specialize in medicine,Nurse,Medical & Health,FSc Pre-Medical,225000
330,IFRS;ACCA;Financial Modeling;Accounting,Investing;Economics;Business,Solving Puzzles,Office-based desk work,Manage large investments,Investment Analyst,Finance & Commerce,ICOM (Commerce),235000
331,Power Systems;Mechanics;Robotics;3D Modeling,Infrastructure;Innovation,Building Models;Astronomy,Hands-on practical work,Build infrastructure for Pakistan;Job stability in government,Architect,Engineering,FSc Pre-Engineering,115000
332,Tax Law;Litigation;Negotiation,Politics;Human Rights;Social Issues,Writing Articles;Reading News,Debating and arguing cases,Pass CSS exams,Lawyer,Law & Social Sciences,FA (Arts) or FSc,315000
333,CAD;Construction Management;3D Modeling,Construction;Electronics;Mathematics,DIY Projects;Solving Math Problems,Solving technical problems,Work abroad in engineering,Electrical Engineer,Engineering,FSc Pre-Engineering,95000
334,NLP;Computer Vision;Docker;Node.js,Programming;Innovation;Cloud Technology,Open Source Contribution,Working alone on focused tasks,Solve real-world tech problems,Cybersecurity Analyst,IT & Data,ICS (Pre-Engineering),80000
335,Artificial Intelligence;C++;Node.js,Cloud Technology;Software Development,Watching Tech YouTube;Building Robots,Working independently with deadlines,Build innovative products;Work in top global companies,Game Developer,IT & Data,ICS (Pre-Engineering),205000
336,Networking;Linux;NLP;API Development;Flutter,Technology;Programming;Artificial Intelligence,Math Competitions,Analyzing data and finding patterns,Work remotely and freelance globally,Cloud Engineer,IT & Data,ICS (Pre-Engineering),235000
337,Robotics;Project Management;AutoCAD;Manufacturing;Site Supervision,Innovation;Construction,DIY Projects,Working with calculations and designs,Work abroad in engineering,Electrical Engineer,Engineering,FSc Pre-Engineering,140000
338,Circuit Design;Mechanics;Manufacturing;Construction Management;Robotics,Physics;Innovation,Solving Math Problems,Building and constructing things,Job stability in government;Contribute to national development,Mechanical Engineer,Engineering,FSc Pre-Engineering,215000
339,International Relations;SECP Regulations;Litigation;Policy Analysis,Research;International Affairs,Community Work,Analytical and critical thinking,Influence policy making,Diplomat/CSS Officer,Law & Social Sciences,FA (Arts) or FSc,265000
340,Research Methods;Contract Law;Corporate Law;Constitutional Law;Tax Law,Debating;Human Rights,Community Work,Public speaking and presentations,Influence policy making,Lawyer,Law & Social Sciences,FA (Arts) or FSc,110000
341,Excel;ACCA;Corporate Finance;CA;Accounting,Law;Business;Business Strategy,Playing Chess;Tracking Stock Markets,Office-based desk work,Work in banking sector;Work in top accounting firms,Chartered Accountant,Finance & Commerce,ICOM (Commerce),175000
342,Anatomy;Physiology;First Aid,Human Body;Science,Reading Medical Journals,Working in a clinical environment,Job stability and security;Achieve social respect,Dentist,Medical & Health,FSc Pre-Medical,220000
343,Java;Flutter;Cloud Computing;DevOps,Gaming;Cloud Technology,Playing Video Games;Coding Personal Projects,Analyzing data and finding patterns,Achieve financial independence early;Solve real-world tech problems,Web Developer,IT & Data,ICS (Pre-Engineering),170000
344,Banking Operations;Stock Market;ACCA;IFRS;Auditing,Accounting;Numbers;Entrepreneurship,Networking Events,Office-based desk work,Work in banking sector;Start a financial consultancy,Financial Analyst,Finance & Commerce,ICOM (Commerce),100000
345,Color Theory;Figma;Video Editing;3D Visualization,Visual Arts;Fashion;Aesthetics,Painting,Working on design projects independently,Collaborate with global clients;Express creativity professionally,UX/UI Designer,Design & Creative,FA (Arts) or ICS,135000
346,Foreign Policy;Corporate Law;Drafting;SECP Regulations,Law;Justice,Watching Documentaries,Working with diverse communities,Pass CSS exams;Achieve justice and fairness,Economist,Law & Social Sciences,FA (Arts) or FSc,150000
347,Manufacturing;Thermodynamics;Civil Design,Infrastructure;Physics;Science,DIY Projects;Sketching Structures,Working with calculations and designs,High salary in engineering firms,Civil Engineer,Engineering,FSc Pre-Engineering,205000
348,Linux;AWS;Data Analysis;Node.js,Data Science;Cloud Technology;Gadgets,Solving Puzzles;Participating in Hackathons,Solving logical problems,High salary and financial freedom;Work in top global companies,Software Engineer,IT & Data,ICS (Pre-Engineering),220000
349,FBR;International Relations;Statistics;Constitutional Law,Research;Debating,Volunteering;Following Politics,Analytical and critical thinking,Work in government sector;High social status,Economist,Law & Social Sciences,FA (Arts) or FSc,245000
350,Negotiation;Diplomacy;Statistics,History;Government,Following Politics,Public speaking and presentations,Influence policy making,Diplomat/CSS Officer,Law & Social Sciences,FA (Arts) or FSc,365000
351,Taxation;Excel;IFRS;Economics,Entrepreneurship;Business Strategy;Finance,Entrepreneurship Blogs,Analyzing financial reports,Work in banking sector,Investment Analyst,Finance & Commerce,ICOM (Commerce),165000
352,Agile;Sales;Brand Management;HR Management;SEO,Team Work;People,Reading Business Books,Working in a fast-paced environment,Build a brand;Start my own business,Marketing Manager,Business & Marketing,ICOM (Commerce),115000
353,Social Media;Negotiation;Logistics,Operations;Strategy,Writing Blogs,Leading teams and projects,Build a brand;Work in corporate sector,Supply Chain Manager,Business & Marketing,ICOM (Commerce),150000
354,SECP Regulations;Policy Analysis;Litigation;Economics;Political Science,Policy Making;Government,Reading News;Debating,Long hours of reading and research,Serve the public;Work in international law,Diplomat/CSS Officer,Law & Social Sciences,FA (Arts) or FSc,100000
355,Artificial Intelligence;Deep Learning;C++,Artificial Intelligence;Software Development;Gaming,Building PCs;Open Source Contribution,Working in teams on tech projects,Start a tech startup,Cybersecurity Analyst,IT & Data,ICS (Pre-Engineering),265000
356,Leadership;Project Management;Recruitment;Agile;ERP Systems,People;Team Work,Reading Business Books;Volunteering,Building relationships,Become a marketing leader;Build a brand,Digital Marketer,Business & Marketing,ICOM (Commerce),65000
357,Agriculture;Crop Science;Journalism;Photography,Nature;Teaching;Communication,Nature Walks;Writing Stories,Teaching and explaining concepts,Job stability in government;Make a difference in society,Agricultural Officer,Education & Media,FA (Arts) or FSc,110000
358,First Aid;Physiology;Nutrition;Patient Care,Mental Health;Healthcare,First Aid Training;Reading Medical Journals,Working in a team of professionals,Do medical research;Achieve social respect,Nurse,Medical & Health,FSc Pre-Medical,105000
359,Investment Analysis;Corporate Finance;Banking Operations;Financial Modeling;Budgeting,Money Management;Business Strategy,Reading Business News,Presenting reports to clients,Become a CA or ACCA qualified,Investment Analyst,Finance & Commerce,ICOM (Commerce),125000
360,Foreign Policy;Negotiation;Research Methods;Constitutional Law;International Relations,Social Issues;Politics,Watching Documentaries,Public speaking and presentations,Pass CSS exams;Serve the public,Economist,Law & Social Sciences,FA (Arts) or FSc,165000
361,Investment Analysis;Risk Management;Financial Modeling;Economics;Taxation,Stock Market;Business;Law,Networking Events,Working independently on accounts,Financial independence and high salary;Work in government finance departments,Financial Analyst,Finance & Commerce,ICOM (Commerce),255000
362,Tax Law;Public Speaking;Negotiation;Policy Analysis;Legal Research,Policy Making;Economics,Following Politics,Long hours of reading and research,Serve the public,Corporate Lawyer,Law & Social Sciences,FA (Arts) or FSc,245000
363,Thermodynamics;Electrical Systems;Civil Design;Structural Analysis;Site Supervision,Infrastructure;Electronics;Problem Solving,Scale Modelling;Building Models,Building and constructing things,Work on mega projects,Mechanical Engineer,Engineering,FSc Pre-Engineering,140000
364,Physiology;Chemistry;Surgery;Anatomy;Nutrition,Patient Care;Community Service,Volunteering at Hospitals,Following structured procedures,Job stability and security;Work in government hospitals,Nurse,Medical & Health,FSc Pre-Medical,205000
365,Content Writing;Sales;Business Strategy;Negotiation,Sales;Management;Branding,Debating;Public Speaking,Communicating with different stakeholders,Lead a team,Supply Chain Manager,Business & Marketing,ICOM (Commerce),185000
366,ACCA;Budgeting;Auditing,Entrepreneurship;Business;Stock Market,Tracking Stock Markets,Analyzing financial reports,Work in top accounting firms,Investment Analyst,Finance & Commerce,ICOM (Commerce),290000
367,Java;Data Analysis;Networking;Docker,Gaming;Software Development;Technology,Participating in Hackathons,Working with computers all day,Achieve financial independence early;Work in top global companies,Network Engineer,IT & Data,ICS (Pre-Engineering),205000
368,AWS;TensorFlow;Unity;DevOps,Automation;Technology;Mobile Apps,Playing Video Games,Building and creating software,Achieve financial independence early;Start a tech startup,Cloud Engineer,IT & Data,ICS (Pre-Engineering),280000
369,Node.js;NLP;Data Analysis;Networking,Cloud Technology;Mobile Apps;Cybersecurity,Playing Video Games,Analyzing data and finding patterns,Work remotely and freelance globally;Contribute to AI research,Cloud Engineer,IT & Data,ICS (Pre-Engineering),275000
370,Project Management;Negotiation;Sales;CRM,Business;Entrepreneurship;People,Running Social Media Pages,Creative and strategic thinking,Start my own business;Lead a team,Supply Chain Manager,Business & Marketing,ICOM (Commerce),140000
371,UX Research;Photoshop;Premiere Pro;Typography;After Effects,Digital Media;Media,Watching Design Videos;Painting,Freelance and project-based work,Work in media and advertising,Fashion Designer,Design & Creative,FA (Arts) or ICS,130000
372,CA;Taxation;Financial Modeling;Excel;Portfolio Management,Banking;Numbers,Reading Finance Books;Networking Events,Working independently on accounts,Achieve professional certification,Chartered Accountant,Finance & Commerce,ICOM (Commerce),70000
373,Research;Communication;Teaching,Teaching;Community Service;Research,Community Work;Blogging,Community engagement,Make a difference in society;Contribute to agricultural development,Agricultural Officer,Education & Media,FA (Arts) or FSc,95000
374,Cloud Computing;API Development;Database Management;Artificial Intelligence,Innovation;Technology,Solving Puzzles,Working in teams on tech projects,Work remotely and freelance globally;Contribute to AI research,Network Engineer,IT & Data,ICS (Pre-Engineering),155000
375,Policy Analysis;Constitutional Law;SECP Regulations,Human Rights;Politics,Traveling;Watching Documentaries,Debating and arguing cases,Work in international law,Lawyer,Law & Social Sciences,FA (Arts) or FSc,235000
376,CA;Accounting;ACCA;Stock Market,Investing;Entrepreneurship;Accounting,Managing Personal Budget,Analyzing financial reports,Achieve professional certification;Manage large investments,Investment Analyst,Finance & Commerce,ICOM (Commerce),285000
377,Business Strategy;SEO;Content Writing,People;Strategy;Branding,Volunteering,Working with people and clients,Lead a team,HR Manager,Business & Marketing,ICOM (Commerce),185000
378,Leadership;Business Strategy;Sales,Branding;Strategy,Networking;Writing Blogs,Building relationships,Build a brand,Supply Chain Manager,Business & Marketing,ICOM (Commerce),160000
379,Mechanics;Project Management;Site Supervision,Robotics;Problem Solving;Machines,Sketching Structures;Electronics Tinkering,Building and constructing things,Work on mega projects,Architect,Engineering,FSc Pre-Engineering,190000
380,FBR;Diplomacy;Litigation,Debating;Government,Reading History Books;Watching Documentaries,Working with diverse communities,Become a senior advocate,Diplomat/CSS Officer,Law & Social Sciences,FA (Arts) or FSc,180000
381,Urban Planning;Project Management;Mechanics;Architecture Design,Building Things;Construction,Reading Science Magazines,Working in teams on large projects,Job stability in government;Work on mega projects,Civil Engineer,Engineering,FSc Pre-Engineering,205000
382,Computer Vision;Unity;Database Management,Cybersecurity;Problem Solving,Building Robots;Coding Personal Projects,Working independently with deadlines,Solve real-world tech problems,Data Scientist,IT & Data,ICS (Pre-Engineering),110000
383,Mechanics;MATLAB;Manufacturing,Robotics;Construction;Innovation,Playing with Lego,Working in teams on large projects,High salary in engineering firms;Build infrastructure for Pakistan,Mechanical Engineer,Engineering,FSc Pre-Engineering,140000
384,Manufacturing;Civil Design;Robotics;AutoCAD;CAD,Infrastructure;Problem Solving,Reading Science Magazines,Working in teams on large projects,Contribute to national development,Mechanical Engineer,Engineering,FSc Pre-Engineering,205000
385,Public Speaking;Journalism;Curriculum Development;Research;Soil Science,Research;Communication,Photography,Teaching and explaining concepts,Work in NGOs and international organizations;Become a respected journalist,Environmental Scientist,Education & Media,FA (Arts) or FSc,45000
386,JavaScript;Linux;Unity;Node.js;Networking,Automation;Technology;Gaming,Building Robots,Analyzing data and finding patterns,Work remotely and freelance globally;Build innovative products,Mobile App Developer,IT & Data,ICS (Pre-Engineering),195000
387,After Effects;3D Visualization;Branding;UX Research,Media;Design,Fashion Styling;Reading Design Books,Working on aesthetics and visuals,Express creativity professionally;Collaborate with global clients,Video Editor,Design & Creative,FA (Arts) or ICS,180000
388,Climate Analysis;Public Speaking;Subject Knowledge,Children;Journalism;Social Work,Reading Books,Conducting research and fieldwork,Raise awareness through media;Serve the community through education,Teacher,Education & Media,FA (Arts) or FSc,90000
389,First Aid;Dentistry;Nutrition,Helping People;Healthcare;Community Service,First Aid Training;Meditation,Making critical decisions,Do medical research;Work in government hospitals,Dentist,Medical & Health,FSc Pre-Medical,270000
390,Leadership;ERP Systems;Logistics;Business Strategy;HR Management,Operations;Social Media,Public Speaking,Leading teams and projects,Grow professionally in business;Start my own business,Supply Chain Manager,Business & Marketing,ICOM (Commerce),105000
391,C++;NLP;React,Gadgets;Mobile Apps;Software Development,Playing Video Games,Working alone on focused tasks,Work in top global companies;Contribute to AI research,Mobile App Developer,IT & Data,ICS (Pre-Engineering),110000
392,Civil Design;Site Supervision;Urban Planning,Construction;Innovation;Robotics,Sketching Structures;Reading Science Magazines,Working on site and in offices,Job stability in government,Mechanical Engineer,Engineering,FSc Pre-Engineering,125000
393,Machine Learning;API Development;Node.js;SQL;Unity,Gadgets;Research,Playing Video Games,Working independently with deadlines,Achieve financial independence early,Mobile App Developer,IT & Data,ICS (Pre-Engineering),130000
394,Legal Research;Tax Law;Diplomacy;Corporate Law;Foreign Policy,Law;Research;Policy Making,Reading News,Public speaking and presentations,Work in international law,Lawyer,Law & Social Sciences,FA (Arts) or FSc,95000
395,Public Speaking;Reporting;Communication;Environmental Science,Environment;Agriculture,Photography;Teaching Younger Students,Working with children and students,Work in NGOs and international organizations,Environmental Scientist,Education & Media,FA (Arts) or FSc,120000
396,Corporate Law;Research Methods;SECP Regulations,Politics;Government,Reading News,Public speaking and presentations,Become a senior advocate;Serve the public,Corporate Lawyer,Law & Social Sciences,FA (Arts) or FSc,210000
397,Excel;CA;Economics;Banking Operations,Stock Market;Investing,Playing Chess;Networking Events,Making financial decisions,Work in government finance departments;Work in top accounting firms,Banker,Finance & Commerce,ICOM (Commerce),255000
398,Market Research;HR Management;Supply Chain;Brand Management,Leadership;Strategy,Public Speaking,Creative and strategic thinking,High salary in management,Supply Chain Manager,Business & Marketing,ICOM (Commerce),80000
399,FBR;Litigation;Constitutional Law;Legal Research;Negotiation,History;International Affairs,Watching Documentaries;Following Politics,Research and writing,Become a senior advocate,Corporate Lawyer,Law & Social Sciences,FA (Arts) or FSc,345000
400,Public Speaking;Policy Analysis;Tax Law;Constitutional Law;SECP Regulations,Justice;History;Politics,Community Work,Public speaking and presentations,Influence policy making;Work in government sector,Corporate Lawyer,Law & Social Sciences,FA (Arts) or FSc,310000
401,Typography;UI Design;Illustrator;Sketching;3D Visualization,Aesthetics;Fashion,Creating Digital Art;Interior Decoration,Working on design projects independently,Build a design portfolio;Start a creative agency,Interior Designer,Design & Creative,FA (Arts) or ICS,60000
402,Risk Management;Stock Market;Economics;Portfolio Management;IFRS,Investing;Economics;Accounting,Debating;Business Case Studies,Office-based desk work,Work in government finance departments,ACCA Accountant,Finance & Commerce,ICOM (Commerce),215000
403,Financial Modeling;Banking Operations;Risk Management;Stock Market;Excel,Banking;Accounting,Reading Business News,Presenting reports to clients,Become a CA or ACCA qualified,Investment Analyst,Finance & Commerce,ICOM (Commerce),100000
404,Economics;Risk Management;IFRS;Accounting,Business Strategy;Economics;Finance,Tracking Stock Markets;Solving Puzzles,Working independently on accounts,Become a CA or ACCA qualified,Banker,Finance & Commerce,ICOM (Commerce),95000
405,Social Media;SEO;Recruitment;Project Management,Operations;Branding;Business,Volunteering,Building relationships,Build a brand,Marketing Manager,Business & Marketing,ICOM (Commerce),195000
406,Curriculum Development;Soil Science;Environmental Science;Broadcasting;Content Creation,Communication;Research;Children,Photography,Community engagement,Raise awareness through media,Teacher,Education & Media,FA (Arts) or FSc,70000
407,Banking Operations;CA;ACCA,Entrepreneurship;Numbers;Law,Tracking Stock Markets,Analyzing financial reports,Work in government finance departments,Financial Analyst,Finance & Commerce,ICOM (Commerce),165000
408,Curriculum Development;Journalism;Research;Public Speaking;Photography,Children;Media,Photography,Conducting research and fieldwork,Contribute to agricultural development;Raise awareness through media,Journalist,Education & Media,FA (Arts) or FSc,40000
409,Soil Science;GIS;Agriculture,Community Service;Research,Volunteering at Schools;Teaching Younger Students,Conducting research and fieldwork,Work in NGOs and international organizations,Agricultural Officer,Education & Media,FA (Arts) or FSc,95000
410,E-commerce;Negotiation;Recruitment,Team Work;Branding,Running Social Media Pages,Communicating with different stakeholders,Start my own business;High salary in management,Supply Chain Manager,Business & Marketing,ICOM (Commerce),150000
411,UI Design;UX Research;Graphic Design;Typography,Fashion;Art,Creating Digital Art;Watching Design Videos,Collaborating with clients,Build a design portfolio,Fashion Designer,Design & Creative,FA (Arts) or ICS,90000
412,Logistics;ERP Systems;HR Management;Supply Chain;Communication,Sales;Strategy;Business,Writing Blogs,Building relationships,Build a brand,Marketing Manager,Business & Marketing,ICOM (Commerce),70000
413,Banking Operations;Credit Analysis;Investment Analysis,Stock Market;Business Strategy;Accounting,Debating,Working under strict deadlines,Financial independence and high salary,ACCA Accountant,Finance & Commerce,ICOM (Commerce),175000
414,CAD;Urban Planning;3D Modeling,Mathematics;Robotics,Scale Modelling;Building Models,Working on site and in offices,Build infrastructure for Pakistan;Work on mega projects,Civil Engineer,Engineering,FSc Pre-Engineering,115000
